Flight No.,Date,Time,Version Booster,Launch Site,Payload,Payload mass,Orbit,Customer,Launch outcome,Booster landing
74,6 August 2019,23:23,F9 B5B1047.3472,CCAFS,AMOS-17,0.0,GTO,Spacecom,"Success
",No attempt
75,11 November 2019,14:56,F9 B5,CCAFS,Starlink,0.0,LEO,SpaceX,"Success
",Success
76,5 December 2019,17:29,F9 B5[,CCAFS,SpaceX CRS-19,0.0,LEO,NASA(CRS),"Success
",Success
77,17 December 2019,00:10,F9 B5B1056.3482,CCAFS,JCSat-18,0.0,GTO,Sky Perfect JSATKacific 1,"Success
",Success
78,7 January 2020,02:19:21,F9 B5,CCAFS,Starlink,0.0,LEO,SpaceX,"Success
",Success
79,19 January 2020,15:30,F9 B5,KSC,Crew Dragon in-flight abort test,0.0,Sub-orbital,NASA(CTS)[497],"Success
","No attempt
"
80,29 January 2020,14:07,F9 B5,CCAFS,Starlink,0.0,LEO,SpaceX,"Success
",Success
81,17 February 2020,15:05,F9 B5,CCAFS,Starlink,0.0,LEO,SpaceX,"Success
",Failure
82,7 March 2020,04:50,F9 B5,CCAFS,SpaceX CRS-20,0.0,LEO,NASA(CRS),"Success
",Success
83,18 March 2020,12:16,F9 B5,KSC,Starlink,0.0,LEO,SpaceX,"Success
",Failure
84,22 April 2020,19:30,F9 B5,KSC,Starlink,0.0,LEO,SpaceX,"Success
",Success
85,30 May 2020,19:22,F9 B5[,KSC,Crew Dragon Demo-2,0.0,LEO,NASA(CCDev),"Success
",Success
86,4 June 2020,01:25,F9 B5,CCAFS,Starlink,0.0,LEO,SpaceX,"Success
",Success
87,13 June 2020,09:21,F9 B5,CCAFS,Starlink,0.0,LEO,SpaceXPlanet Labs,"Success
",Success
88,30 June 2020,20:10:46,F9 B5,CCAFS,GPS III,0.0,MEO,U.S. Space Force[530],"Success
",Success
89,20 July 2020,21:30,F9 B5B1058.2544,CCAFS,ANASIS-II,0.0,GTO,Republic of Korea Army,"Success
",Success
90,7 August 2020,05:12,F9 B5,KSC,Starlink,0.0,LEO,SpaceXSpaceflight Industries(BlackSky),"Success
",Success
91,18 August 2020,14:31,F9 B5B1049.6544,CCAFS,Starlink,0.0,LEO,SpaceXPlanet Labs,"Success
",Success
92,30 August 2020,23:18,F9 B5,CCAFS,SAOCOM 1B,0.0,SSO,CONAEPlanetIQTyvak,"Success
",Success
93,3 September 2020,12:46:14,F9 B5B1060.2563,KSC,Starlink,0.0,LEO,SpaceX,"Success
",Success
94,6 October 2020,11:29:34,F9 B5B1058.3565,KSC,Starlink,0.0,LEO,SpaceX,"Success
",Success
95,18 October 2020,12:25:57,F9 B5B1051.6568,KSC,Starlink,0.0,LEO,SpaceX,"Success
",Success
96,24 October 2020,15:31:34,F9 B5,CCAFS,Starlink,0.0,LEO,SpaceX,"Success
",Success
97,5 November 2020,23:24:23,F9 B5,CCAFS,GPS III,0.0,MEO,USSF,"Success
",Success
98,16 November 2020,00:27,F9 B5[,KSC,Crew-1,0.0,LEO,NASA(CCP)[497],"Success
",Success
99,21 November 2020,17:17:08,F9 B5,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),0.0,LEO,NASA/NOAA/ESA/EUMETSAT,"Success
",Success
100,25 November 2020,02:13,F9 B5 ♺[,CCAFS,Starlink,0.0,LEO,SpaceX,"Success
",Success
101,6 December 2020,16:17:08,F9 B5 ♺[,KSC,SpaceX CRS-21,0.0,LEO,NASA(CRS),"Success
",Success
102,13 December 2020,17:30:00,F9 B5 ♺,CCSFS,SXM-7,0.0,GTO,Sirius XM,"Success
",Success
103,19 December 2020,14:00:00,F9 B5 ♺,KSC,NROL-108,0.0,LEO,NRO,"Success
",Success
104,8 January 2021,02:15,F9 B5,CCSFS,Türksat 5A,0.0,GTO,Türksat,"Success
",Success
105,20 January 2021,13:02,F9 B5B1051.8609,KSC,Starlink,0.0,LEO,SpaceX,"Success
",Success
106,24 January 2021,15:00,F9 B5B1058.5613,CCSFS,Transporter-1,0.0,SSO,Various,"Success
",Success
107,4 February 2021,06:19,F9 B5 ♺[,CCSFS,Starlink,0.0,LEO,SpaceX,"Success
",Success
108,16 February 2021,03:59:37,F9 B5 ♺,CCSFS,Starlink,0.0,LEO,SpaceX,"Success
",Failure
109,4 March 2021,08:24,F9 B5 ♺[,KSC,Starlink,0.0,LEO,SpaceX,"Success
",Success
110,11 March 2021,08:13:29,F9 B5 ♺[,CCSFS,Starlink,0.0,LEO,SpaceX,"Success
",Success
111,14 March 2021,10:01,F9 B5 ♺,KSC,Starlink,0.0,LEO,SpaceX,"Success
",Success
112,24 March 2021,08:28,F9 B5B1060.6643,CCSFS,Starlink,0.0,LEO,SpaceX,"Success
",Success
113,7 April 2021,16:34,F9 B5 ♺,CCSFS,Starlink,0.0,LEO,SpaceX,"Success
",Success
114,23 April 2021,9:49,F9 B5B1061.2647,KSC,Crew-2,0.0,LEO,NASA(CTS)[497],"Success
",Success
115,29 April 2021,03:44,F9 B5B1060.7652,CCSFS,Starlink,0.0,LEO,SpaceX,"Success
",Success
116,4 May 2021,19:01,F9 B5B1049.9655,KSC,Starlink,0.0,LEO,SpaceX,"Success
",Success
117,9 May 2021,06:42,F9 B5B1051.10657,CCSFS,Starlink,0.0,LEO,SpaceX,"Success
",Success
118,15 May 2021,22:56,F9 B5B1058.8660,KSC,Starlink,0.0,LEO,SpaceXCapella SpaceandTyvak,"Success
",Success
119,26 May 2021,18:59,F9 B5B1063.2665,CCSFS,Starlink,0.0,LEO,SpaceX,"Success
",Success
120,3 June 2021,17:29,F9 B5B1067.1668,KSC,SpaceX CRS-22,0.0,LEO,NASA(CRS),"Success
",Success
121,6 June 2021,04:26,F9 B5,CCSFS,SXM-8,0.0,GTO,Sirius XM,"Success
",Success
